"Variable","N_II","N_III","N_IV","g_II_III","g_III_IV","Delta_g","CI_low","CI_high","P_boot","Cohort","P_BH"
"Endfoot_Organization",138,144,140,-0.180510874466865,0.0536493703927551,0.23416024485962,-0.159047706906667,0.663998004605865,0.241,"CGGA",0.3856
"Homeostatic_Astrocytes",138,144,140,-0.208588651530831,-0.187815098747088,0.0207735527837428,-0.371045352568326,0.426072572133684,0.894,"CGGA",0.894
"Reactive_Astrocytes",138,144,140,0.0446763199684368,0.334216740340711,0.289540420372275,-0.116644339034151,0.707000302463828,0.152,"CGGA",0.304
"BBB_Specialization",138,144,140,-0.0731611568464241,-0.156059015693378,-0.0828978588469539,-0.483555970762546,0.312629569703234,0.707,"CGGA",0.808
"Endothelial_Angiogenesis",138,144,140,0.13121984498004,0.564104177227956,0.432884332247916,0.0418949215261842,0.944301410890428,0.027,"CGGA",0.0853333333333333
"Basement_Membrane",138,144,140,0.217541433155973,0.953119964463173,0.7355785313072,0.324447806011209,1.17427581854436,5e-04,"CGGA",0.004
"ECM_Remodeling",138,144,140,0.0923125844654458,0.517794248918629,0.425481664453183,0.0273836863278132,0.806895255908148,0.032,"CGGA",0.0853333333333333
"Neuroinflammation",138,144,140,0.127488886906123,0.328135178986908,0.200646292080785,-0.1723140824815,0.608046417367509,0.306,"CGGA",0.408
