"Variable","N_II","N_III","N_IV","g_II_III","g_III_IV","Delta_g","CI_low","CI_high","P_boot","Cohort","P_BH"
"Endfoot_Organization",214,241,345,-0.0180692604661495,0.0394874966310071,0.0575567570971565,-0.252706439960783,0.397388743301421,0.706,"TCGA",0.706
"Homeostatic_Astrocytes",214,241,345,-0.217189783223928,-0.443528431902887,-0.226338648678959,-0.523820990364099,0.0689070467427882,0.143,"TCGA",0.185142857142857
"Reactive_Astrocytes",214,241,345,0.0807591091206749,0.52510032153527,0.444341212414595,0.128668638479113,0.812333949021334,0.008,"TCGA",0.016
"BBB_Specialization",214,241,345,0.136307519036199,-0.101179567035827,-0.237487086072026,-0.536231180200389,0.0743627201896437,0.141,"TCGA",0.185142857142857
"Endothelial_Angiogenesis",214,241,345,0.493367739538856,0.949925762791003,0.456558023252147,0.16184796151187,0.770430855785168,0.002,"TCGA",0.00533333333333333
"Basement_Membrane",214,241,345,0.584153848607443,1.32024100205252,0.736087153445078,0.486825842668346,0.979626478094334,5e-04,"TCGA",0.002
"ECM_Remodeling",214,241,345,0.457403700108795,1.00773846028494,0.550334760176148,0.327943360623506,0.801287552891372,5e-04,"TCGA",0.002
"Neuroinflammation",214,241,345,0.267007240031881,0.471549951794362,0.204542711762481,-0.0670067482433577,0.500300835584788,0.162,"TCGA",0.185142857142857
