"Pathway","Global_chisq","Global_df","Global_P"
"Endfoot_Organization",47.4001357836691,4,1.25860496555002e-09
"Homeostatic_Astrocytes",45.103500891963,4,3.78374983437664e-09
"Reactive_Astrocytes",42.101847220477,4,1.58901070077603e-08
"BBB_Specialization",48.8337760424336,4,6.32415699644634e-10
"Endothelial_Angiogenesis",45.3895920122657,4,3.29934933244004e-09
"Basement_Membrane",44.3172933524631,4,5.51232987182949e-09
"ECM_Remodeling",45.4615855946861,4,3.18753062591217e-09
"Neuroinflammation",43.2587342483928,4,9.14445062084896e-09
