"sample_id","Endfoot_Organization","Homeostatic_Astrocytes","Reactive_Astrocytes","BBB_Specialization","Endothelial_Angiogenesis","Basement_Membrane","ECM_Remodeling","Neuroinflammation"
"CGGA_1002",-0.0467132222987937,0.104163818818894,-0.303981287573073,0.210615793290429,-0.452422577649375,-0.441297404998213,-0.352407104661222,-0.0330718796063127
"CGGA_1003",-0.503432036548084,-0.193255924547061,-0.577541772736903,-0.244263316211154,-0.516204316321578,-0.575421479145797,-0.320176587681069,-0.616381071788409
"CGGA_1010",-1.11990652913295,-0.924596352853033,-0.71168910816135,-1.05909275613465,-0.772157014844333,-0.668651955067083,-0.398330502436214,-0.680665690335308
"CGGA_1012",-0.248918244582261,-0.349707843305098,-0.016439819860184,0.0754399219537926,1.88441575746574,1.84066641548095,0.283622480769621,0.0559604459270854
"CGGA_1014",0.972423393413452,-0.0140003313323442,0.131017734023649,-0.0731588157964324,-0.553660531723634,-0.183480860861844,-0.175363834545731,-0.0267490984379826
"CGGA_1017",0.461794438569201,1.06361454109794,-0.264463641358296,0.374352547579033,-0.34530367077228,-0.530027095439375,-0.404715379386616,-0.51045736570749
"CGGA_1018",-0.338831219717868,0.152770316985098,-0.568993197514896,0.47869454619239,-0.346289192684356,-0.573881153245304,-0.0847738281189033,-0.549415863440718
"CGGA_103",0.562872043317209,0.831875612136862,-0.342967518350072,0.68965719538243,-0.602317428755215,-0.484563723050628,-0.0150728386995494,-0.428976921811174
"CGGA_1030",-0.179404572113418,0.0121223506156531,-0.539068236626302,0.00710698546052132,-0.690904016415963,-0.542893457697601,-0.38670066133177,-0.602866937216526
"CGGA_1032",-0.875925404039136,-0.895123963950224,-0.497038459564806,-0.569846942955995,-0.391166842366764,-0.419364884045919,-0.120236101387207,-0.237512428051561
"CGGA_1033",-0.335432156894915,-0.260937753618191,-0.530312724226557,-0.345216546231669,-0.54397443669467,-0.485088043880654,-0.458230548566322,-0.605380735584443
"CGGA_1036",-0.499560703348631,-0.68438075026409,0.0759264267584171,-0.6556668343077,0.174699649880709,0.272820536611394,0.281935249086056,0.146514991882655
"CGGA_1037",-0.0897093516835348,-0.251032371520325,-0.189709025394285,-0.0545990778694381,-0.556956724204622,-0.347248432677088,-0.216092198576172,-0.429303873815241
"CGGA_1041",1.11612956173267,0.645652565972683,0.647219267155457,0.492850244261645,-0.421497933381026,-0.451050091879069,-0.124937992831921,-0.344242289673666
"CGGA_1048",-0.126257707332953,-0.267083948503149,-0.333100399074237,-0.104691050549736,0.542472178227988,0.023514455273331,-0.0317070606614493,0.189223641427989
"CGGA_1051",-0.159261691715421,-0.10478559190683,-0.444542573929618,-0.131452371544886,-0.569094399590971,-0.482410624721402,-0.412676624763046,-0.601334944428601
"CGGA_1055",-0.0647638141422158,0.0955809040082953,-0.336148302425477,0.905568744666024,-0.188919693891004,-0.50590425385271,0.387815404755475,-0.210916397326125
"CGGA_1057",-0.126998802015118,-0.41397487186537,0.619829985689433,-0.356670461806637,-0.122499416819496,-0.17516252816386,-0.176329220531006,2.03101267677952
"CGGA_1058",0.241126684089653,0.112557037457898,0.027763978181553,1.60280099720097,0.402629425780162,-0.419957940094947,-0.217341370542404,0.0368609724475415
"CGGA_106",0.122595029353953,-0.051588441523062,0.937082459072628,0.163896969183862,0.494496364375388,-0.230185511741799,-0.252409970314697,1.8453124481481
"CGGA_1063",-0.795363047952981,-0.745066420648026,-0.595190785764971,-0.773854364201172,-0.806622464002309,-0.671373649130476,-0.306752372844229,-0.631894895351069
"CGGA_1065",-0.286079073914263,0.49940914719345,-0.281496117917684,-0.272533832852377,-0.303965214815637,-0.326119872009675,-0.144422238514822,-0.615134759531177
"CGGA_1066",0.35052078714501,1.02560374849347,1.05813984453955,0.955458800620098,-0.274597015886674,-0.340977367309688,-0.267172099716259,0.117582943076
"CGGA_1069",0.597835833207698,0.317440363700292,1.02635839363284,-0.296374615253668,3.79188138408894,1.64636547837843,0.868246606734344,2.9084265553156
"CGGA_107",1.52071402554798,0.145101489280878,0.487536570357658,0.465569384789987,3.09543381151946,1.50276908767093,0.437844311006551,-0.211272137703388
"CGGA_1075",0.276123793295069,-0.246507842187238,-0.168601120600467,-0.521671725236176,0.160449895264761,0.729634715599916,0.198108463190094,0.973208785184198
